Date,Description,Category,Amount
2024-01-02,Monthly Rent Payment,Rent,-786.69
2024-01-05,Farmer's Market Produce,Food,-24.0
2024-01-05,Electronics Gadget Buy,Shopping,-173.35
2024-01-07,Weekly Supermarket Run,Food,-8.09
2024-01-10,Gift for Friend,Shopping,-846.34
2024-01-11,Bike Share Rental,Transport,-4.23
2024-01-13,Fuel Station Fill-up,Transport,-2.85
2024-01-17,Fuel Station Fill-up,Transport,-15.12
2024-01-20,Electronics Gadget Buy,Shopping,-140.64
2024-01-22,Farmer's Market Produce,Food,-25.47
2024-01-22,Sunday Brunch Cafe,Food,-77.16
2024-01-23,Weekly Supermarket Run,Food,-14.32
2024-01-24,Monthly Salary,Salary,2500.0
2024-01-24,Late-night Snacks,Food,-14.51
2024-01-24,Online Marketplace Order,Shopping,-145.36
2024-02-03,Sunday Brunch Cafe,Food,-55.62
2024-02-04,Monthly Rent Payment,Rent,-872.0
2024-02-05,Weekly Supermarket Run,Food,-28.41
2024-02-05,Sunday Brunch Cafe,Food,-28.7
2024-02-09,Airport Shuttle,Transport,-50.91
2024-02-13,Weekly Supermarket Run,Food,-113.22
2024-02-14,Clothing Boutique Purchase,Shopping,-242.64
2024-02-15,Weekly Supermarket Run,Food,-89.45
2024-02-16,Corner Market Groceries,Food,-27.42
2024-02-19,Taxi Ride,Transport,-33.07
2024-02-24,Monthly Salary,Salary,2500.0
2024-03-03,Airport Shuttle,Transport,-7.08
2024-03-04,Monthly Rent Payment,Rent,-834.68
2024-03-04,Clothing Boutique Purchase,Shopping,-216.84
2024-03-04,Late-night Snacks,Food,-94.38
2024-03-06,Home Goods & Decor,Shopping,-233.58
2024-03-08,Bike Share Rental,Transport,-39.59
2024-03-08,Bike Share Rental,Transport,-51.23
2024-03-13,Clothing Boutique Purchase,Shopping,-267.29
2024-03-13,Farmer's Market Produce,Food,-40.87
2024-03-20,Farmer's Market Produce,Food,-87.17
2024-03-21,Monthly Salary,Salary,2500.0
2024-04-03,City Metro Trip,Transport,-38.02
2024-04-04,Monthly Rent Payment,Rent,-835.51
2024-04-06,Late-night Snacks,Food,-35.92
2024-04-07,Gift for Friend,Shopping,-73.35
2024-04-08,Bike Share Rental,Transport,-18.45
2024-04-14,Corner Market Groceries,Food,-30.59
2024-04-16,Weekly Supermarket Run,Food,-92.62
2024-04-21,Monthly Salary,Salary,2500.0
2024-04-21,Weekly Supermarket Run,Food,-71.09
2024-05-02,Corner Market Groceries,Food,-33.53
2024-05-03,Monthly Rent Payment,Rent,-857.87
2024-05-06,Taxi Ride,Transport,-42.01
2024-05-08,Farmer's Market Produce,Food,-26.44
2024-05-13,Fuel Station Fill-up,Transport,-15.78
2024-05-21,Farmer's Market Produce,Food,-47.49
2024-05-21,Home Goods & Decor,Shopping,-211.93
2024-05-24,Corner Market Groceries,Food,-108.36
2024-05-25,Clothing Boutique Purchase,Shopping,-115.45
2024-05-26,Monthly Salary,Salary,2500.0
2024-06-02,Monthly Rent Payment,Rent,-806.97
2024-06-02,Sunday Brunch Cafe,Food,-34.83
2024-06-07,Home Goods & Decor,Shopping,-193.37
2024-06-13,Bike Share Rental,Transport,-27.7
2024-06-18,Weekly Supermarket Run,Food,-117.38
2024-06-21,Monthly Salary,Salary,2500.0
2024-06-23,Corner Market Groceries,Food,-11.7
2024-06-24,Fuel Station Fill-up,Transport,-46.05
2024-07-02,Monthly Rent Payment,Rent,-814.16
2024-07-02,City Metro Trip,Transport,-41.03
2024-07-04,Taxi Ride,Transport,-14.87
2024-07-05,Farmer's Market Produce,Food,-9.86
2024-07-06,Clothing Boutique Purchase,Shopping,-64.73
2024-07-10,Sunday Brunch Cafe,Food,-85.39
2024-07-17,Bike Share Rental,Transport,-33.98
2024-07-17,Weekly Supermarket Run,Food,-12.57
2024-07-18,Bike Share Rental,Transport,-15.65
2024-07-19,Taxi Ride,Transport,-55.59
2024-07-20,Weekly Supermarket Run,Food,-47.05
2024-07-21,Monthly Salary,Salary,2500.0
2024-08-02,Airport Shuttle,Transport,-2.56
2024-08-04,Monthly Rent Payment,Rent,-895.19
2024-08-04,Corner Market Groceries,Food,-49.7
2024-08-04,Sunday Brunch Cafe,Food,-117.05
2024-08-09,Weekly Supermarket Run,Food,-95.96
2024-08-15,Fuel Station Fill-up,Transport,-33.6
2024-08-17,Fuel Station Fill-up,Transport,-45.17
2024-08-17,Bike Share Rental,Transport,-59.68
2024-08-18,Bike Share Rental,Transport,-19.52
2024-08-20,Online Marketplace Order,Shopping,-82.63
2024-08-20,Electronics Gadget Buy,Shopping,-193.03
2024-08-21,Corner Market Groceries,Food,-107.35
2024-08-22,Clothing Boutique Purchase,Shopping,-177.3
2024-08-23,Monthly Salary,Salary,2500.0
2024-08-25,Corner Market Groceries,Food,-103.3
2024-09-02,Airport Shuttle,Transport,-5.91
2024-09-04,City Metro Trip,Transport,-11.42
2024-09-04,Taxi Ride,Transport,-34.85
2024-09-05,Monthly Rent Payment,Rent,-894.49
2024-09-05,Corner Market Groceries,Food,-10.72
2024-09-10,Online Marketplace Order,Shopping,-114.25
2024-09-10,Late-night Snacks,Food,-114.74
2024-09-11,Clothing Boutique Purchase,Shopping,-244.93
2024-09-11,Clothing Boutique Purchase,Shopping,-224.82
2024-09-11,Taxi Ride,Transport,-56.27
2024-09-15,Farmer's Market Produce,Food,-110.46
2024-09-16,Home Goods & Decor,Shopping,-50.62
2024-09-18,Farmer's Market Produce,Food,-69.91
2024-09-18,Late-night Snacks,Food,-119.39
2024-09-22,City Metro Trip,Transport,-12.67
2024-09-25,Monthly Salary,Salary,2500.0
2024-10-03,Fuel Station Fill-up,Transport,-27.15
2024-10-05,Corner Market Groceries,Food,-97.41
2024-10-05,Monthly Rent Payment,Rent,-852.27
2024-10-06,Gift for Friend,Shopping,-233.3
2024-10-09,Weekly Supermarket Run,Food,-86.62
2024-10-13,Online Marketplace Order,Shopping,-34.75
2024-10-17,Home Goods & Decor,Shopping,-159.73
2024-10-20,Weekly Supermarket Run,Food,-45.86
2024-10-21,Gift for Friend,Shopping,-212.86
2024-10-21,Fuel Station Fill-up,Transport,-3.77
2024-10-23,City Metro Trip,Transport,-36.06
2024-10-25,Monthly Salary,Salary,2500.0
2024-11-02,Corner Market Groceries,Food,-57.54
2024-11-05,Monthly Rent Payment,Rent,-804.17
2024-11-09,Corner Market Groceries,Food,-112.68
2024-11-13,Sunday Brunch Cafe,Food,-53.8
2024-11-15,Electronics Gadget Buy,Shopping,-60.85
2024-11-15,City Metro Trip,Transport,-6.87
2024-11-17,Online Marketplace Order,Shopping,-110.43
2024-11-17,City Metro Trip,Transport,-10.78
2024-11-17,Late-night Snacks,Food,-65.87
2024-11-21,Monthly Salary,Salary,2500.0
2024-11-22,Corner Market Groceries,Food,-17.06
2024-11-24,Taxi Ride,Transport,-4.29
2024-11-24,Sunday Brunch Cafe,Food,-36.1
2024-12-02,Taxi Ride,Transport,-57.73
2024-12-02,Fuel Station Fill-up,Transport,-28.31
2024-12-03,Monthly Rent Payment,Rent,-939.83
2024-12-03,Sunday Brunch Cafe,Food,-37.22
2024-12-08,Online Marketplace Order,Shopping,-212.05
2024-12-11,Clothing Boutique Purchase,Shopping,-1721.7
2024-12-12,Fuel Station Fill-up,Transport,-56.58
2024-12-12,Airport Shuttle,Transport,-12.95
2024-12-15,Home Goods & Decor,Shopping,-641.66
2024-12-17,Sunday Brunch Cafe,Food,-15.9
2024-12-18,Farmer's Market Produce,Food,-105.13
2024-12-20,Corner Market Groceries,Food,-64.35
2024-12-21,Sunday Brunch Cafe,Food,-72.45
2024-12-22,Monthly Salary,Salary,2500.0
2024-12-24,Electronics Gadget Buy,Shopping,-102.5
2024-12-25,Weekly Supermarket Run,Food,-81.77
